locname r0  phi0  z0  dr  dphi  dz (r1  phi1  z1  dr1  dphi1  dz1)
ulouvre3 0.85 17 1.825 0.75 0 0
ulouvre3b 0.70 20 1.825 0.75 0 0
ulouvre3a   0.80 -25 1.825 0.9 0 0 0.80 -28 1.825 0.9 0 0
ulouvre3c   0.80 -27 1.825 0.9 0 0 0.80 -28 1.825 0.9 0 0
ulouvre3d 0.80 -24 1.825 0.9 0 0 0.80 -26 1.825 0.9 0 0
ulouvre4 0.85 24.5 1.825 0.75 0 0
ulouvre425 0.85 36.0 1.825 0.5 0 0
ulouvre4a   0.80 24 1.825 0.75 0 0 0.80 26.5 1.825 0.75 0 0
ulouvre5 0.85 33 1.825 0.75 0 0
ulouvre4let 0.80 26.25 1.825 0.65 -2.5 0
ulouvre5a   0.80 31.5 1.825 0.75 0 0 0.80 34 1.825 0.75 0 0
ulouvre6	0.85 40.5 1.825 0.75 0 0
ulouvre7 0.80 -40 1.825 0.75 0 0
ulouvre9 0.80 -18.5 1.825 0.60 0 0 0.80 -17.5 1.825 0.60 0 0
ulouvre8c 0.80 -25.4 1.825 0.60 0 0 0.80 -24.4 1.825 0.60 0 0
ulouvre12   0.75 -37.5 1.825 0.75 0 0 0.75 -36 1.825 0.75 0 0
recip1	1.1 340 0.0 0.5 0 0
gdc210  1.500 150 0.900 0.0 0 -1.8
cc70    0.196 40 -1.0675 0.0 0 2.135
l60m    0.85 60 -1.982 0.53 0 0
l60ma   0.85 64.5 -1.982 0.53 -1.8 0 0.85 55.0 -1.982 0.53 1.8 0
l30m    0.85 33.22 -1.981 0.53 -1.50 0
l30ma   0.85 33.7 -1.981 0.53 -1.6 0 0.85 32.8 -1.981 0.53 -1.25 0
l60ms+2 0.85 62 -1.982 0.54 0 0
l60ml   0.8 58 -1.982 0.7 0.9 0
l60mt   0.8 62 -1.982 0.7 -0.9 0
l60su	0.8 53.16 -2.0 0.7 3.18 0
l60sm	0.8 53.16 -2.015 0.7 3.18 0
l60sl   0.8 53.16 -2.03 0.7 3.18 0
l90su   0.8 91.79 -2.0 0.7 -0.835 0
l90sm   0.8 91.79 -2.015 0.7 -0.835 0
l90sl   0.8 91.79 -2.03 0.7 -0.835 0
u30su   0.8 28.21 2.0 0.7 0.835 0
u30m    0.8 26.78 1.981 0.7 1.50 0
cclsp5s 0.281 -46.5 -1.62 0 2 0.62
cclsp5   0.281 -46.5 -1.62 0 2 0.62 0.281 -50.3 -1.62 0 2 0.62
cclsp4   0.281 -50.5 -1.62 0 2 0.62 0.281 -54.3 -1.62 0 2 0.62
cclsp4p   0.281 -50.5 -1.52 0 2 0.62 0.281 -54.3 -1.52 0 2 0.62
cclsp4w   0.281 -49.5 -1.52 0 2 0.62 0.281 -54.3 -1.52 0 2 0.62
cclsp7	 0.281 -53.0 -1.52 0 2 0.62 0.281 -56.3 -1.52 0 2 0.62
cclsp3   0.281 8.5 -1.62 0.0 -1 0.5 0.281 12.3 -1.62 0.0 -1 0.5
cclsp2   0.281 -53.5 -1.62 0.0 -1 0.62 0.281 -57.3 -1.62 0.0 -1 0.62
cclsp   0.281 -40.0 -1.62 0.0 0.0 0.62 0.281 -40.0 -1.62 0.0 0.0 0.62
cclsp6  0.281 -39.0 -1.62 0.0 0.0 0.62 0.281 -40.0 -1.62 0.0 0.0 0.62
cclup3   0.281 -16.4 1.20 0.0 0.0 0.62 0.281 -20.4 1.20 0.0 0.0 0.62
p3-1	1.04 220 1.033 0 0 0.134
p3-1a	1.04 180 1.033 0 0 0.134 1.04 235 1.033 0 0 0.134
p3-2a	1.04 270 1.033 0 0 0.134 1.04 325 1.033 0 0 0.134
ss-h    1.70 -15.0 0.0 0 -25.0 0.0
ss-v    1.70 -27.4 -0.367 0 0.0 0.735
cc-groove  0.18  90. -0.367 0 0.0 0.735
rob190     0.95 190.0 1.03 0.20 0.0 0.0
rob195     0.95 195.0 1.03 0.20 0.0 0.0
rob200     0.95 200.0 1.03 0.20 0.0 0.0
rob205     0.95 205.0 1.03 0.20 0.0 0.0
rob210     0.95 210.0 1.03 0.20 0.0 0.0
rob215     0.95 215.0 1.03 0.20 0.0 0.0
rob220     0.95 220.0 1.03 0.20 0.0 0.0
rob225     0.95 225.0 1.03 0.20 0.0 0.0
rob230     0.95 230.0 1.03 0.20 0.0 0.0
