x,y,z,radial,toroidal angle
0.465393572,-0.119817494,-1.450729321,0.480569879,-0.251981911
0.46502469,-0.121346556,-1.450702749,0.480596451,-0.255254403
0.464650786,-0.122874487,-1.450676175,0.480623025,-0.258526896
0.464271862,-0.124401271,-1.4506496,0.4806496,-0.261799388
0.463887923,-0.12592689,-1.450623023,0.480676177,-0.26507188
0.463498972,-0.12745133,-1.450596445,0.480702755,-0.268344373
0.463105012,-0.128974573,-1.450569866,0.480729334,-0.271616865
0.462706048,-0.130496602,-1.450543285,0.480755915,-0.274889357
0.462302083,-0.132017402,-1.450516702,0.480782498,-0.27816185
0.46189312,-0.133536955,-1.450490118,0.480809082,-0.281434342
0.461479164,-0.135055247,-1.450463533,0.480835667,-0.284706834
0.461060219,-0.136572259,-1.450436946,0.480862254,-0.287979327
0.485503965,0.012713369,-1.460336408,0.485670392,0.026179939
0.485569412,0.011125101,-1.460309959,0.485696841,0.022907446
0.485629663,0.009536542,-1.460283509,0.485723291,0.019634954
0.485684719,0.007947707,-1.460257057,0.485749743,0.016362462
0.485734578,0.006358614,-1.460230604,0.485776196,0.013089969
0.485779239,0.00476928,-1.46020415,0.48580265,0.009817477
0.4858187,0.003179721,-1.460177694,0.485829106,0.006544985
0.485852962,0.001589956,-1.460151237,0.485855563,0.003272492
0.485882022,0,-1.460124778,0.485882022,0
0.48590588,-0.001590129,-1.460098318,0.485908482,-0.003272492
0.485924536,-0.003180414,-1.460071856,0.485934944,-0.006544985
0.485937988,-0.004770838,-1.460045393,0.485961407,-0.009817477
0.485946236,-0.006361385,-1.460018929,0.485987871,-0.013089969
0.485949278,-0.007952036,-1.459992463,0.486014337,-0.016362462
0.485947116,-0.009542776,-1.459965995,0.486040805,-0.019634954
0.485939747,-0.011133586,-1.459939526,0.486067274,-0.022907446
0.485927172,-0.012724451,-1.459913056,0.486093744,-0.026179939
0.485909389,-0.014315352,-1.459886584,0.486120216,-0.029452431
0.4858864,-0.015906274,-1.459860111,0.486146689,-0.032724923
0.485858202,-0.017497198,-1.459833637,0.486173163,-0.035997416
0.485824797,-0.019088108,-1.459807161,0.48619964,-0.039269908
0.485786184,-0.020678987,-1.459780683,0.486226117,-0.042542401
0.485742362,-0.022269818,-1.459754204,0.486252596,-0.045814893
0.485693332,-0.023860583,-1.459727724,0.486279076,-0.049087385
0.485639093,-0.025451266,-1.459701242,0.486305558,-0.052359878
0.485579646,-0.02704185,-1.459674758,0.486332041,-0.05563237
0.485514991,-0.028632317,-1.459648274,0.486358526,-0.058904862
0.485445127,-0.030222651,-1.459621788,0.486385012,-0.062177355
0.485370056,-0.031812834,-1.4595953,0.4864115,-0.065449847
0.485289776,-0.03340285,-1.459568811,0.486437989,-0.068722339
0.485204289,-0.034992681,-1.45954232,0.48646448,-0.071994832
0.485113595,-0.03658231,-1.459515828,0.486490972,-0.075267324
0.485017694,-0.03817172,-1.459489335,0.486517465,-0.078539816
0.484916587,-0.039760895,-1.45946284,0.48654396,-0.081812309
0.484810274,-0.041349817,-1.459436344,0.486570456,-0.085084801
0.484698755,-0.042938469,-1.459409846,0.486596954,-0.088357293
0.484582032,-0.044526834,-1.459383347,0.486623453,-0.091629786
0.484460106,-0.046114895,-1.459356846,0.486649954,-0.094902278
0.484332976,-0.047702634,-1.459330344,0.486676456,-0.09817477
0.484200643,-0.049290036,-1.459303841,0.486702959,-0.101447263
0.484063109,-0.050877083,-1.459277336,0.486729464,-0.104719755
0.483920375,-0.052463757,-1.459250829,0.486755971,-0.107992247
0.483772441,-0.054050043,-1.459224322,0.486782478,-0.11126474
0.483619308,-0.055635922,-1.459197812,0.486808988,-0.114537232
0.483460977,-0.057221377,-1.459171302,0.486835498,-0.117809725
0.48329745,-0.058806393,-1.459144789,0.486862011,-0.121082217
0.483128728,-0.060390951,-1.459118276,0.486888524,-0.124354709
0.482954812,-0.061975035,-1.459091761,0.486915039,-0.127627202
0.482775703,-0.063558627,-1.459065244,0.486941556,-0.130899694
0.482591403,-0.065141711,-1.459038726,0.486968074,-0.134172186
0.482401913,-0.06672427,-1.459012207,0.486994593,-0.137444679
0.482207234,-0.068306286,-1.458985686,0.487021114,-0.140717171
0.482007369,-0.069887742,-1.458959164,0.487047636,-0.143989663
0.481802318,-0.071468623,-1.45893264,0.48707416,-0.147262156
0.481592083,-0.073048909,-1.458906115,0.487100685,-0.150534648
