x,y,z
0.301351978,-0.097915193,-1.288556991
0.301999691,-0.095944997,-1.288542717
0.302634523,-0.093970517,-1.288528442
0.303256447,-0.091991837,-1.288514167
0.303865433,-0.090009042,-1.28849989
0.304461456,-0.088022216,-1.288485614
0.305044488,-0.086031443,-1.288471336
0.305614503,-0.08403681,-1.288457058
0.306171476,-0.0820384,-1.28844278
0.306715381,-0.080036299,-1.2884285
0.307246195,-0.078030593,-1.28841422
0.307763892,-0.076021367,-1.28839994
0.308268451,-0.074008707,-1.288385659
0.308759848,-0.071992699,-1.288371377
0.30923806,-0.069973429,-1.288357094
0.309703067,-0.067950983,-1.288342811
0.310154847,-0.065925448,-1.288328528
0.31059338,-0.06389691,-1.288314243
0.311018645,-0.061865455,-1.288299958
0.311430624,-0.059831171,-1.288285673
0.311829298,-0.057794144,-1.288271387
0.312214647,-0.055754462,-1.2882571
0.312586655,-0.053712211,-1.288242812
0.312945305,-0.051667479,-1.288228524
0.313290579,-0.049620353,-1.288214236
0.313622462,-0.047570921,-1.288199946
0.313940939,-0.04551927,-1.288185656
0.314245995,-0.043465488,-1.288171366
0.314537615,-0.041409663,-1.288157074
0.314815786,-0.039351882,-1.288142782
0.315080494,-0.037292234,-1.28812849
0.315331728,-0.035230807,-1.288114197
0.315569475,-0.033167688,-1.288099903
0.315793723,-0.031102967,-1.288085609
0.316004463,-0.029036731,-1.288071314
0.316201683,-0.026969069,-1.288057018
0.316385375,-0.024900069,-1.288042722
0.316555528,-0.02282982,-1.288028425
0.316712136,-0.02075841,-1.288014127
0.316855189,-0.018685928,-1.287999829
0.31698468,-0.016612463,-1.28798553
0.317100603,-0.014538103,-1.287971231
0.317202952,-0.012462938,-1.287956931
0.31729172,-0.010387055,-1.28794263
0.317366903,-0.008310545,-1.287928329
0.317428497,-0.006233495,-1.287914027
0.317476497,-0.004155995,-1.287899724
0.317510901,-0.002078134,-1.287885421
0.317531706,-1.39E-17,-1.287871117
0.317538909,0.002078317,-1.287856812
0.317532509,0.004156728,-1.287842507
0.317512505,0.006235145,-1.287828202
0.317478898,0.008313478,-1.287813895
0.317431686,0.010391637,-1.287799588
0.317370871,0.012469535,-1.287785281
0.317296455,0.014547083,-1.287770972
0.317208438,0.01662419,-1.287756663
0.303275286,-0.098540114,-1.290536852
0.303927048,-0.096557317,-1.290522578
0.304565847,-0.094570209,-1.290508303
0.305191654,-0.092578876,-1.290494027
0.305804442,-0.090583402,-1.290479751
0.306404182,-0.088583873,-1.290465474
0.306990849,-0.086580374,-1.290451197
0.307564415,-0.084572989,-1.290436919
0.308124855,-0.082561806,-1.29042264
0.308672144,-0.080546909,-1.290408361
0.309206258,-0.078528386,-1.290394081
0.309727172,-0.076506321,-1.2903798
0.310234862,-0.074480801,-1.290365519
0.310729307,-0.072451913,-1.290351237
0.311210483,-0.070419743,-1.290336954
0.311678368,-0.068384378,-1.290322671
0.312132943,-0.066345905,-1.290308388
0.312574185,-0.064304411,-1.290294103
0.313002075,-0.062259984,-1.290279818
0.313416594,-0.06021271,-1.290265533
0.313817722,-0.058162677,-1.290251246
0.314205441,-0.056109972,-1.290236959
0.314579733,-0.054054684,-1.290222672
0.314940581,-0.0519969,-1.290208384
0.315287969,-0.049936708,-1.290194095
0.31562188,-0.047874197,-1.290179806
0.315942299,-0.045809453,-1.290165516
0.316249211,-0.043742566,-1.290151225
0.316542601,-0.041673624,-1.290136934
0.316822457,-0.039602715,-1.290122642
0.317088764,-0.037529928,-1.290108349
0.31734151,-0.035455352,-1.290094056
0.317580684,-0.033379075,-1.290079763
0.317806273,-0.031301186,-1.290065468
0.318018267,-0.029221774,-1.290051173
0.318216655,-0.027140927,-1.290036878
0.318401428,-0.025058736,-1.290022581
0.318572577,-0.022975288,-1.290008284
0.318730093,-0.020890674,-1.289993987
0.318873969,-0.018804982,-1.289979689
0.319004196,-0.016718301,-1.28996539
0.319120768,-0.014630722,-1.289951091
0.31922368,-0.012542333,-1.289936791
0.319312924,-0.010453223,-1.28992249
0.319388497,-0.008363482,-1.289908189
0.319450394,-0.0062732,-1.289893887
0.319498611,-0.004182466,-1.289879584
0.319533145,-0.002091369,-1.289865281
0.319553992,0,-1.289850977
0.319561152,0.002091553,-1.289836673
0.319554622,0.004183199,-1.289822368
0.319534402,0.00627485,-1.289808062
0.319500491,0.008366415,-1.289793756
0.319452889,0.010457805,-1.289779449
0.319391598,0.01254893,-1.289765141
0.319316619,0.014639701,-1.289750833
0.319227953,0.016730028,-1.289736525
0.305198594,-0.099165035,-1.292516713
0.305854406,-0.097169636,-1.292502439
0.306497171,-0.095169901,-1.292488164
0.307126862,-0.093165915,-1.292473888
0.30774345,-0.091157763,-1.292459612
0.308346908,-0.089145531,-1.292445335
0.308937209,-0.087129304,-1.292431057
0.309514326,-0.085109169,-1.292416779
0.310078234,-0.083085212,-1.2924025
0.310628907,-0.08105752,-1.292388221
0.311166321,-0.079026178,-1.292373941
0.311690451,-0.076991274,-1.29235966
0.312201273,-0.074952894,-1.292345379
0.312698766,-0.072911126,-1.292331097
0.313182905,-0.070866056,-1.292316814
0.31365367,-0.068817773,-1.292302531
0.314111038,-0.066766362,-1.292288247
0.31455499,-0.064711913,-1.292273963
0.314985505,-0.062654512,-1.292259678
0.315402563,-0.060594249,-1.292245392
0.315806146,-0.058531209,-1.292231106
0.316196234,-0.056465483,-1.292216819
0.316572811,-0.054397158,-1.292202532
0.316935858,-0.052326322,-1.292188243
0.317285359,-0.050253064,-1.292173955
0.317621298,-0.048177473,-1.292159665
0.317943659,-0.046099637,-1.292145375
0.318252427,-0.044019645,-1.292131085
0.318547588,-0.041937586,-1.292116793
0.318829128,-0.039853549,-1.292102502
0.319097034,-0.037767623,-1.292088209
0.319351293,-0.035679897,-1.292073916
0.319591893,-0.033590462,-1.292059622
0.319818822,-0.031499405,-1.292045328
0.320032071,-0.029406816,-1.292031033
0.320231627,-0.027312786,-1.292016737
0.320417482,-0.025217403,-1.292002441
0.320589626,-0.023120757,-1.291988144
0.320748051,-0.021022938,-1.291973847
0.320892749,-0.018924036,-1.291959549
0.321023712,-0.01682414,-1.29194525
0.321140934,-0.01472334,-1.29193095
0.321244408,-0.012621727,-1.291916651
0.321334129,-0.01051939,-1.29190235
0.321410091,-0.008416419,-1.291888049
0.321472291,-0.006312905,-1.291873747
0.321520725,-0.004208937,-1.291859444
0.321555388,-0.002104605,-1.291845141
0.321576279,0,-1.291830838
0.321583396,0.002104788,-1.291816533
0.321576736,0.00420967,-1.291802228
0.321556299,0.006314555,-1.291787923
0.321522084,0.008419352,-1.291773617
0.321474093,0.010523972,-1.29175931
0.321412325,0.012628325,-1.291745002
0.321336783,0.014732319,-1.291730694
0.321247467,0.016835866,-1.291716386
0.307121903,-0.099789955,-1.294496574
0.307781763,-0.097781956,-1.2944823
