x,y,z
0.873662382,0.022877655,-1.851908621
0.873758838,0.020019086,-1.851881938
0.87384594,0.01716013,-1.851855255
0.873923689,0.014300819,-1.85182857
0.873992083,0.011441183,-1.851801885
0.874051119,0.008581252,-1.851775198
0.874100798,0.005721058,-1.851748511
0.874141118,0.00286063,-1.851721823
0.874172077,0,-1.851695135
0.874193676,-0.002860802,-1.851668445
0.874205913,-0.005721746,-1.851641755
0.874208788,-0.0085828,-1.851615064
0.8742023,-0.011443935,-1.851588372
0.874186448,-0.014305119,-1.851561679
0.874161232,-0.017166322,-1.851534986
0.874126653,-0.020027513,-1.851508292
0.874082709,-0.022888661,-1.851481597
0.8740294,-0.025749737,-1.851454901
0.873966727,-0.028610708,-1.851428204
0.87389469,-0.031471545,-1.851401507
0.873813289,-0.034332218,-1.851374808
0.873722524,-0.037192694,-1.851348109
0.873622395,-0.040052944,-1.851321409
0.873512904,-0.042912937,-1.851294709
0.87339405,-0.045772643,-1.851268007
0.873265835,-0.04863203,-1.851241305
0.873128259,-0.051491068,-1.851214602
0.872981323,-0.054349726,-1.851187898
0.872825028,-0.057207975,-1.851161193
0.872659376,-0.060065782,-1.851134488
0.872484367,-0.062923118,-1.851107781
0.872300003,-0.065779952,-1.851081074
0.872106285,-0.068636253,-1.851054366
0.871903215,-0.071491991,-1.851027657
0.871690794,-0.074347135,-1.851000948
0.871469024,-0.077201654,-1.850974238
0.871237907,-0.080055517,-1.850947526
0.870997445,-0.082908695,-1.850920814
0.87074764,-0.085761157,-1.850894102
0.870488493,-0.088612872,-1.850867388
0.870220008,-0.091463808,-1.850840674
0.869942186,-0.094313937,-1.850813959
0.86965503,-0.097163227,-1.850787243
0.869358542,-0.100011648,-1.850760526
0.869052725,-0.102859168,-1.850733808
0.868737582,-0.105705759,-1.85070709
0.868413116,-0.108551388,-1.850680371
0.868079329,-0.111396026,-1.850653651
0.867736224,-0.114239641,-1.85062693
0.867383805,-0.117082204,-1.850600208
0.867022075,-0.119923684,-1.850573486
0.866651036,-0.122764051,-1.850546763
0.866270694,-0.125603273,-1.850520039
0.86588105,-0.128441321,-1.850493314
0.865482109,-0.131278163,-1.850466588
0.865073874,-0.134113771,-1.850439862
0.864656349,-0.136948112,-1.850413135
0.864229539,-0.139781157,-1.850386407
0.863793446,-0.142612875,-1.850359678
0.863348076,-0.145443236,-1.850332948
0.862893432,-0.14827221,-1.850306218
0.862429519,-0.151099765,-1.850279487
0.861956341,-0.153925872,-1.850252755
0.861473902,-0.156750501,-1.850226022
0.860982208,-0.15957362,-1.850199288
0.860481263,-0.1623952,-1.850172554
0.859971071,-0.165215211,-1.850145819
0.859451638,-0.168033621,-1.850119082
0.858922969,-0.170850401,-1.850092346
0.858385069,-0.173665521,-1.850065608
0.857837942,-0.17647895,-1.85003887
0.857281595,-0.179290658,-1.85001213
0.856716033,-0.182100614,-1.84998539
0.856141261,-0.18490879,-1.849958649
0.855557284,-0.187715153,-1.849931908
0.854964109,-0.190519675,-1.849905165
0.854361742,-0.193322325,-1.849878422
0.853750187,-0.196123073,-1.849851678
0.853129452,-0.198921889,-1.849824933
0.852499542,-0.201718742,-1.849798187
0.851860464,-0.204513603,-1.849771441
0.851212223,-0.207306442,-1.849744694
0.850554827,-0.210097228,-1.849717945
0.849888281,-0.212885932,-1.849691197
0.849212593,-0.215672524,-1.849664447
0.848527768,-0.218456973,-1.849637696
0.847833814,-0.221239249,-1.849610945
0.847130738,-0.224019324,-1.849584193
0.846418547,-0.226797166,-1.84955744
0.845697247,-0.229572746,-1.849530686
0.844966846,-0.232346035,-1.849503932
0.844227351,-0.235117001,-1.849477176
0.843478769,-0.237885616,-1.84945042
0.842721109,-0.240651849,-1.849423663
0.841954377,-0.243415672,-1.849396906
0.841178581,-0.246177053,-1.849370147
0.84039373,-0.248935964,-1.849343388
0.877345999,0.022974114,-1.855536943
0.87744275,0.020103489,-1.855510259
0.877530109,0.017232478,-1.855483575
