pulse_start,pulse_end,analysis_path_name,author,comments
26364,26785,MAST_S1_Upper_L3_centre_radial_2,Tom Farley,Test path
27654,28148,MAST_S1_Upper_L3_centre_radial_2,Tom Farley,Test path
28176,29938,MAST_S1_Upper_L3_centre_radial_2,Tom Farley,Test path
30005,30209,MAST_S1_Upper_L3_centre_radial_2,Tom Farley,Test path
