pulse_start,pulse_end,calcam_calibration_file,author,comments
26364,26785,MAST-rit-p27880-n432-v1.ccc,Tom Farley,RMS = 1.0 pix (Need to check for movement rel to 27880)
26786,27653,MAST-rit-p27880-n432-v1.ccc,Tom Farley,RMS = 1.0 pix (Need to check for movement rel to 27880)
27654,28148,MAST-rit-p27880-n432-v1.ccc,Tom Farley,RMS = 1.0 pix
28176,29938,MAST-rit-p27880-n432-v1.ccc,Tom Farley,RMS = 1.0 pix (Need to check for movement rel to 27880)
30005,30209,MAST-rit-p27880-n432-v1.ccc,Tom Farley,RMS = 1.0 pix (Need to check for movement rel to 27880)
