3686.9	3.8044	-0.2625
3692.7	3.8077	-0.2578
3695.1	3.8091	-0.2558
3701.0	3.8091	-0.2499
3706.3	3.8104	-0.2448
3795.8	3.8329	-0.1582
3800.8	3.8342	-0.1533
3806.6	3.8372	-0.1484
3809.0	3.8385	-0.1464
3814.9	3.8381	-0.1405
3820.5	3.8392	-0.135
3906.2	3.8561	-0.051
3914.7	3.8577	-0.0426
3920.4	3.8604	-0.0376
3922.8	3.8616	-0.0355
3928.7	3.8609	-0.0297
3933.8	3.8616	-0.0246
4027.5	3.8748	0.0682
4027.5	3.8748	0.0682
4034.2	3.8773	0.0744
4036.6	3.8784	0.0765
4042.4	3.8774	0.0822
4048.7	3.8779	0.0885
4136.4	3.8852	0.1759
4142.3	3.8857	0.1818
4148.1	3.8879	0.1871
4150.4	3.8888	0.1893
4154.9	3.888	0.1937
4157.3	3.8875	0.196
4251.4	3.89	0.2901
4256.1	3.8902	0.2948
4261.9	3.892	0.3003
4264.2	3.8928	0.3025
4270.0	3.8912	0.308
4275.0	3.891	0.313
4369.2	3.8882	0.4072
4371.5	3.8882	0.4095
4375.9	3.8897	0.4136
4378.1	3.8904	0.4157
4386.6	3.888	0.4239
4389.0	3.888	0.4263
4482.6	3.8799	0.5195
4484.4	3.8799	0.5213
4489.7	3.8809	0.5265
4491.9	3.8815	0.5286
4497.5	3.8793	0.5338
4503.0	3.8785	0.5392
4596.6	3.8651	0.6319
4598.8	3.8651	0.6341
4603.5	3.8658	0.6387
4605.6	3.8663	0.6408
4611.4	3.8637	0.6459
4614.8	3.8631	0.6493
4710.4	3.8441	0.743
4712.8	3.844	0.7454
4717.3	3.8444	0.7499
4719.5	3.8448	0.752
4725.2	3.8419	0.7569
4730.8	3.8405	0.7623
4824.3	3.8167	0.8528
4831.3	3.8167	0.8598
4833.5	3.8167	0.862
4838.9	3.8138	0.8665
4842.6	3.8126	0.87
4937.9	3.7833	0.9607
4940.2	3.7828	0.9629
4945.1	3.7827	0.9678
4947.3	3.7827	0.97
4952.6	3.7795	0.9743
4955.0	3.7786	0.9765
5051.7	3.7437	1.0667
5052.9	3.7432	1.0678
5058.8	3.7428	1.0737
5060.8	3.743	1.0757
5066.6	3.7391	1.08
5069.8	3.7378	1.0829
5165.4	3.6983	1.1699
5166.9	3.6977	1.1713
5172.9	3.6969	1.1773
5174.9	3.6967	1.1792
5180.4	3.6928	1.1832
5183.6	3.6914	1.186
5219.9	3.6745	1.2182
5230.6	3.6696	1.2277
5239.1	3.6671	1.2358
5341.2	3.6369	1.3333
5343.5	3.6362	1.3355
5344.0	3.6361	1.336
5344.4	3.636	1.3364
5345.6	3.6358	1.3376
5347.3	3.6358	1.3393
5349.0	3.6361	1.3409
5349.1	3.6361	1.341
