locname r0  phi0  z0  dr  dphi  dz (r1  phi1  z1  dr1  dphi1  dz1)
l90sm   0.8 91.79 -2.015 0.7 -0.835 0
l90sl   0.8 91.79 -2.03 0.7 -0.835 0
u30su   0.8 28.21 2.0 0.7 0.835 0
u30m    0.8 26.78 1.981 0.7 1.50 0
cclsp   0.281 0.0 -1.42 0.0 0.0 0.22
cclup   0.281 -31.0 1.20 0.0 0.0 0.62 0.281 -36.0 1.20 0.0 0.0 0.62
cclup2   0.281 -28.0 1.20 0.0 0.0 0.62 0.281 -33.0 1.20 0.0 0.0 0.62
cclup3   0.281 -16.4 1.20 0.0 0.0 0.62 0.281 -20.4 1.20 0.0 0.0 0.62
cclup4   0.281 -21.4 1.20 0.0 0.0 0.62 0.281 -25.4 1.20 0.0 0.0 0.62
cclup5   0.281 -23.4 1.20 0.0 0.0 0.62 0.281 -27.4 1.20 0.0 0.0 0.62
cclup6   0.281 -5.4 1.20 0.0 0.0 0.62 0.281 -9.4 1.20 0.0 0.0 0.62
cclup7   0.281 -21.4 1.20 0.0 0.0 0.62 0.281 -27.4 1.20 0.0 0.0 0.62
cclup8   0.281 55.0 1.20 0.0 0.0 0.62 0.281 60.0 1.20 0.0 0.0 0.62
cclup9   0.281 -62.0 1.20 0.0 0.0 0.62 0.281 -66.0 1.20 0.0 0.0 0.62
p3-1	1.04 220 1.033 0 0 0.134
p3-1a	1.04 180 1.033 0 0 0.134 1.04 235 1.033 0 0 0.134
p3-2a	1.04 270 1.033 0 0 0.134 1.04 325 1.033 0 0 0.134
ss-h    1.70 -15.0 0.0 0 -25.0 0.0
ss-v    1.70 -27.4 -0.367 0 0.0 0.735
cc-groove  0.18  90. -0.367 0 0.0 0.735
rob190     0.95 190.0 1.03 0.20 0.0 0.0
rob195     0.95 195.0 1.03 0.20 0.0 0.0
rob200     0.95 200.0 1.03 0.20 0.0 0.0
rob205     0.95 205.0 1.03 0.20 0.0 0.0
rob210     0.95 210.0 1.03 0.20 0.0 0.0
rob215     0.95 215.0 1.03 0.20 0.0 0.0
rob220     0.95 220.0 1.03 0.20 0.0 0.0
rob225     0.95 225.0 1.03 0.20 0.0 0.0
rob230     0.95 230.0 1.03 0.20 0.0 0.0
rob270     0.95 270.0 1.03 0.20 0.0 0.0
rob275     0.95 275.0 1.03 0.20 0.0 0.0
rob280     0.95 280.0 1.03 0.20 0.0 0.0
rob285     0.95 285.0 1.03 0.20 0.0 0.0
rob290     0.95 290.0 1.03 0.20 0.0 0.0
rob295     0.95 295.0 1.03 0.20 0.0 0.0
rob300     0.95 300.0 1.03 0.20 0.0 0.0
rob305     0.95 305.0 1.03 0.20 0.0 0.0
rob310     0.95 310.0 1.03 0.20 0.0 0.0
rob315     0.95 315.0 1.03 0.20 0.0 0.0
rob320     0.95 320.0 1.03 0.20 0.0 0.0
louvreaug 0.85 27.5 -1.825 0.5 0 0
beamdump   1.837 245 -0.0  0. 35 0.
cclsp2   0.281 -53.5 -1.62 0.0 -1 0.62 0.281 -57.3 -1.62 0.0 -1 0.62
cclsp3   0.281 -43.5 -1.62 0.0 -1 0.62 0.281 -47.3 -1.62 0.0 -1 0.62
cclsp4   0.281 -45.5 -1.62 0.0 -0.5 0.62 0.281 -49.3 -1.62 0.0 -0.5 0.62
cclsp5   0.281 -49.5 -1.62 0.0 0 0.62 0.281 -53.3 -1.62 0.0 0 0.62
