T(C) none LP4500nm SP3500nm LP4750nm LP4250nm LP4000nm BP3500-4000nm BP4100-4300nm
 -3.1000061E+00   1.8678459915678775E+03   8.1963162607720233E+02   2.3918237957007843E+01   2.7231243043489837E+02   1.0208352048786185E+03   1.4005032530105370E+03   1.4155237227407380E+02   1.3132030446031808E+02
 -2.1000061E+00   1.9527067439152104E+03   8.5433189678770566E+02   2.5384148915798161E+01   2.8349256718697347E+02   1.0646219149528936E+03   1.4618563328911998E+03   1.4916280999245936E+02   1.3758819907298837E+02
 -1.1000061E+00   2.0407906556841331E+03   8.9023090106730331E+02   2.6928209807901037E+01   2.9504448144120755E+02   1.1099463608737237E+03   1.5254232620760235E+03   1.5712233445863825E+02   1.4410594641125633E+02
 -1.0000610E-01   2.1321943963547083E+03   9.2735983694338097E+02   2.8553928429839623E+01   3.0697735115638875E+02   1.1568494973717829E+03   1.5912653228034299E+03   1.6544401656357607E+02   1.5088138368405899E+02
  8.9999390E-01   2.2270166664660237E+03   9.6575040245609409E+02   3.0264937928363665E+01   3.1930048759156580E+02   1.2053729640080032E+03   1.6594448973067745E+03   1.7414129448850173E+02   1.5792251820283076E+02
  1.8999939E+00   2.3253582172048295E+03   1.0054347964050978E+03   3.2064999964250475E+01   3.3202333518178580E+02   1.2555590869442708E+03   1.7300254727659410E+03   1.8322797988523914E+02   1.6523752893800423E+02
  2.8999939E+00   2.4273218697213988E+03   1.0464457189665195E+03   3.3958007912328448E+01   3.4515547137796989E+02   1.3074508805414168E+03   1.8030716460016192E+03   1.9271826405087211E+02   1.7283476804389636E+02
  3.8999939E+00   2.5330125341659054E+03   1.0888163721803587E+03   3.5947990096985563E+01   3.5870660645115709E+02   1.3610920487843332E+03   1.8786491279108170E+03   2.0262672409425343E+02   1.8072276235131758E+02
  4.8999939E+00   2.6425372284387504E+03   1.1325804603085689E+03   3.8039113062400638E+01   3.7268658326137000E+02   1.4165269865341331E+03   1.9568247476422894E+03   2.1296832909187162E+02   1.8891021482725964E+02
  5.8999939E+00   2.7560050966484455E+03   1.1777721900641504E+03   4.0235684876710266E+01   3.8710537699136654E+02   1.4738007806073833E+03   2.0376664565107428E+03   2.2375844623059612E+02   1.9740600600104261E+02
  6.8999939E+00   2.8735274272708289E+03   1.2244262707116450E+03   4.2542158469300944E+01   4.0197309484556376E+02   1.5329592106825153E+03   2.1212433316488009E+03   2.3501284693482702E+02   2.0621919535632253E+02
  7.8999939E+00   2.9952176710035524E+03   1.2725779140394909E+03   4.4963135000392313E+01   4.1729997571443170E+02   1.5940487500336303E+03   2.2076255793958858E+03   2.4674771297558664E+02   2.1535902268838308E+02
  8.8999939E+00   3.1211914583099360E+03   1.3222628342047622E+03   4.7503367262055093E+01   4.3309638980467156E+02   1.6571165660919876E+03   2.2968845384233009E+03   2.5897964255909926E+02   2.2483490942615776E+02
  9.8999939E+00   3.2515666166464844E+03   1.3735172474508797E+03   5.0167763109785021E+01   4.4937283823550871E+02   1.7222105208355724E+03   2.3890926825949541E+03   2.7172565639241913E+02   2.3465645991845119E+02
  1.0899994E+01   3.3864631873685066E+03   1.4263778716989375E+03   5.2961388923733118E+01   4.6613995260144134E+02   1.7893791710072080E+03   2.4843236235633044E+03   2.8500320372367935E+02   2.4483346268385085E+02
  1.1899994E+01   3.5260034423084549E+03   1.4808819260133555E+03   5.5889473098671466E+01   4.8340849450180468E+02   1.8586717681617799E+03   2.5826521131002478E+03   2.9883016835455192E+02   2.5537589162384302E+02
  1.2899994E+01   3.6703119000217862E+03   1.5370671299426228E+03   5.8957409561753970E+01   5.0118935503751862E+02   1.9301382585432082E+03   2.6841540451628048E+03   3.1322487462252485E+02   2.6629390719866933E+02
  1.3899994E+01   3.8195153416953112E+03   1.5949717027359522E+03   6.2170761317112145E+01   5.1949355427540138E+02   2.0038292827918997E+03   2.7889064576936134E+03   3.2820609335062051E+02   2.7759785756548314E+02
  1.4899994E+01   3.9737428267131663E+03   1.6546343624367264E+03   6.5535264016307380E+01   5.3833224068044524E+02   2.0797961754834755E+03   2.8969875341563388E+03   3.4379304776220255E+02   2.8929827967838764E+02
  1.5899994E+01   4.1331257078757408E+03   1.7160943248536623E+03   6.9056829553642970E+01   5.5771669051646109E+02   2.1580909644996686E+03   3.0084766048062961E+03   3.6000541935853579E+02   3.0140590034996063E+02
  1.6899994E+01   4.2977976462670376E+03   1.7793913024106796E+03   7.2741549685322369E+01   5.7765830721550651E+02   2.2387663702323325E+03   3.1234541476966424E+03   3.7686335375679153E+02   3.1393163727389197E+02
  1.7899994E+01   4.4678946257661364E+03   1.8445655028765029E+03   7.6595699671423063E+01   5.9816862071652679E+02   2.3218758046216099E+03   3.2420017894206926E+03   3.9438746648621031E+02   3.2688660000838371E+02
  1.8899994E+01   4.6435549671986091E+03   1.9116576279750814E+03   8.0625741939640406E+01   6.1925928677365005E+02   2.4074733700293486E+03   3.3642023055909758E+03   4.1259884874016285E+02   3.4028209091998622E+02
  1.9899994E+01   4.8249193421239088E+03   1.9807088718779539E+03   8.4838329769739829E+01   6.4094208623457826E+02   2.4956138579489561E+03   3.4901396210558341E+03   4.3151907308187725E+02   3.5412960608756254E+02
  2.0899994E+01   5.0121307862549002E+03   2.0517609195797304E+03   8.9240310997642482E+01   6.6322892428953651E+02   2.5863527475529118E+03   3.6198988098544150E+03   4.5117019910162503E+02   3.6844083616609930E+02
