311	1.04E+22
312	1.05E+22
313	1.06E+22
314	1.07E+22
315	1.07E+22
316	1.08E+22
317	1.09E+22
318	1.10E+22
319	1.11E+22
320	1.12E+22
321	1.13E+22
322	1.14E+22
323	1.15E+22
324	1.16E+22
325	1.17E+22
326	1.18E+22
327	1.19E+22
328	1.20E+22
329	1.21E+22
330	1.22E+22
331	1.23E+22
332	1.24E+22
333	1.25E+22
334	1.26E+22
335	1.27E+22
336	1.28E+22
337	1.30E+22
338	1.31E+22
339	1.32E+22
340	1.33E+22
341	1.34E+22
342	1.35E+22
343	1.36E+22
344	1.37E+22
345	1.38E+22
346	1.39E+22
347	1.40E+22
348	1.42E+22
349	1.43E+22
350	1.44E+22
351	1.45E+22
352	1.46E+22
353	1.47E+22
354	1.48E+22
355	1.50E+22
356	1.51E+22
357	1.52E+22
358	1.53E+22
359	1.54E+22
360	1.55E+22
361	1.57E+22
362	1.58E+22
363	1.59E+22
364	1.60E+22
365	1.61E+22
366	1.63E+22
367	1.64E+22
368	1.65E+22
369	1.66E+22
370	1.68E+22
371	1.69E+22
372	1.70E+22
373	1.71E+22
374	1.73E+22
375	1.74E+22
376	1.75E+22
377	1.76E+22
378	1.78E+22
379	1.79E+22
380	1.80E+22
381	1.81E+22
382	1.83E+22
383	1.84E+22
384	1.85E+22
385	1.87E+22
386	1.88E+22
387	1.89E+22
388	1.91E+22
389	1.92E+22
390	1.93E+22
391	1.95E+22
392	1.96E+22
393	1.97E+22
394	1.99E+22
395	2.00E+22
396	2.02E+22
397	2.03E+22
398	2.04E+22
399	2.06E+22
400	2.07E+22
